stop_id,stop_name,stop_lat,stop_lon
19996,Yarraville Railway Station (Yarraville),-37.81585044,144.8899337
19997,Seddon Railway Station (Seddon),-37.80900514,144.8956716
20000,Watergardens Railway Station (Sydenham),-37.70112872,144.7741805
20001,Keilor Plains Railway Station (St Albans),-37.72927934,144.7937381
20002,St Albans Railway Station (St Albans),-37.74486131,144.8000505
20003,Ginifer Railway Station (St Albans),-37.76006707,144.8113481
20004,Albion Railway Station (Sunshine North),-37.77765281,144.8247036
20005,Epping Railway Station (Epping),-37.65218666,145.0310678
20006,Lalor Railway Station (Lalor),-37.66585075,145.0171932
20007,Thomastown Railway Station (Thomastown),-37.68033809,145.0142789
20008,Keon Park Railway Station (Thomastown),-37.69487012,145.0118838
20009,Ruthven Railway Station (Reservoir),-37.70789754,145.0095166
20010,Reservoir Railway Station (Reservoir),-37.71688492,145.0069958
20011,Regent Railway Station (Reservoir),-37.72840277,145.0027726
20012,Preston Railway Station (Preston),-37.73867424,145.000522
20013,Bell Railway Station (Preston),-37.74556212,145.000155
20014,Thornbury Railway Station (Thornbury),-37.75505179,144.9985715
20015,Croxton Railway Station (Northcote),-37.764101,144.9970562
20016,Northcote Railway Station (Northcote),-37.76986537,144.9952772
20017,Merri Railway Station (Northcote),-37.77784668,144.9929725
20019,Rushall Railway Station (Fitzroy North),-37.78321711,144.9924071
20021,Sunshine Railway Station (Sunshine),-37.78853633,144.8328782
20022,Tottenham Railway Station (West Footscray),-37.7992509,144.8629449
20023,West Footscray Railway Station (West Footscray),-37.80180266,144.8839848
20024,Middle Footscray Railway Station (Footscray),-37.8025047,144.8914721
20025,Footscray Railway Station (Footscray),-37.80108298,144.9031992
20026,South Kensington Railway Station (Kensington),-37.79953087,144.925469
20027,Flemington Racecourse Railway Station (Flemington),-37.78720192,144.9075887
20030,Broadmeadows Railway Station (Broadmeadows),-37.68304926,144.9196132
20031,Jacana Railway Station (Glenroy),-37.69513079,144.9158505
20032,Glenroy Railway Station (Glenroy),-37.70453633,144.9172204
20033,Oak Park Railway Station (Oak Park),-37.71794973,144.9215188
20034,Pascoe Vale Railway Station (Pascoe Vale),-37.73075596,144.9281956
20035,Strathmore Railway Station (Strathmore),-37.74359132,144.9273157
20036,Glenbervie Railway Station (Essendon),-37.74720985,144.9209387
20037,Essendon Railway Station (Essendon),-37.7560117,144.9161975
20038,Moonee Ponds Railway Station (Moonee Ponds),-37.76570666,144.9191607
20039,Ascot Vale Railway Station (Ascot Vale),-37.77530609,144.9218207
20040,Newmarket Railway Station (Flemington),-37.78732767,144.9289785
20041,Kensington Railway Station (Kensington),-37.79378022,144.9305244
20042,Box Hill Railway Station (Box Hill),-37.81922165,145.1214289
22180,Southern Cross Railway Station (Melbourne City),-37.81793643,144.9514112
40220,Roxburgh Park Railway Station (Roxburgh Park),-37.63823121,144.9354037
40221,Craigieburn Railway Station (Craigieburn),-37.6018169,144.9433203
44817,Coolaroo Railway Station (Coolaroo),-37.66100253,144.9260556
45793,Lynbrook Railway Station (Lynbrook),-38.05734118,145.2492751
45794,Cardinia Road Railway Station (Pakenham),-38.07129047,145.437791
45795,South Morang Railway Station (South Morang),-37.6491588,145.0670324
46468,Williams Landing Railway Station (Williams Landing),-37.86986533,144.7474447
49343,Union Railway Station (Mont Albert),-37.82311792,145.1002781
52095,Southland Railway Station (Cheltenham),-37.95875571,145.0491209
52159,Middle Gorge Railway Station (South Morang),-37.6440613,145.092144
52160,Hawkstowe Railway Station (South Morang),-37.62299455,145.0973962
52161,Mernda Railway Station (Mernda),-37.60254797,145.100885
